"ts","starttime","detectorid","volume","speed","occupancy","status","dqflags"
1316197920,"2011-09-16 11:32:00-07",1346,5,63,11,2,0
1316197940,"2011-09-16 11:32:20-07",1346,4,52,16,2,0
1316197960,"2011-09-16 11:32:40-07",1346,9,65,18,2,0
1316197980,"2011-09-16 11:33:00-07",1346,7,45,13,2,0
1316198000,"2011-09-16 11:33:20-07",1346,2,58,3,2,0
1316198020,"2011-09-16 11:33:40-07",1346,4,77,5,2,0
1316198040,"2011-09-16 11:34:00-07",1346,8,65,11,2,0
1316198060,"2011-09-16 11:34:20-07",1346,9,63,16,2,0
1316198080,"2011-09-16 11:34:40-07",1346,6,64,9,2,0
1316198100,"2011-09-16 11:35:00-07",1346,7,62,9,2,0
1316198120,"2011-09-16 11:35:20-07",1346,5,63,7,2,0
1316198140,"2011-09-16 11:35:40-07",1346,7,59,14,2,0
1316198160,"2011-09-16 11:36:00-07",1346,5,59,10,2,0
1316198180,"2011-09-16 11:36:20-07",1346,7,67,9,2,0
1316198200,"2011-09-16 11:36:40-07",1346,9,61,14,2,0
1316198220,"2011-09-16 11:37:00-07",1346,8,54,21,2,0
1316198240,"2011-09-16 11:37:20-07",1346,10,60,10,2,0
1316198260,"2011-09-16 11:37:40-07",1346,9,58,14,2,0
1316198280,"2011-09-16 11:38:00-07",1346,5,77,5,2,0
1316198320,"2011-09-16 11:38:40-07",1346,8,51,19,2,0
1316198340,"2011-09-16 11:39:00-07",1346,7,65,10,2,0
1316198360,"2011-09-16 11:39:20-07",1346,6,64,7,2,0
1316198380,"2011-09-16 11:39:40-07",1346,4,65,5,2,0
1316198400,"2011-09-16 11:40:00-07",1346,6,58,8,2,0
1316198420,"2011-09-16 11:40:20-07",1346,8,60,18,2,0
1316198440,"2011-09-16 11:40:40-07",1346,6,61,10,2,0
1316198460,"2011-09-16 11:41:00-07",1346,5,65,7,2,0
1316198480,"2011-09-16 11:41:20-07",1346,6,51,11,2,0
1316198500,"2011-09-16 11:41:40-07",1346,7,63,9,2,0
1316198520,"2011-09-16 11:42:00-07",1346,3,67,9,2,0
1316198540,"2011-09-16 11:42:20-07",1346,5,51,8,2,0
1316198560,"2011-09-16 11:42:40-07",1346,7,73,11,2,0
1316198580,"2011-09-16 11:43:00-07",1346,2,80,2,2,0
1316198600,"2011-09-16 11:43:20-07",1346,6,65,14,2,0
1316198620,"2011-09-16 11:43:40-07",1346,4,50,4,2,0
1316198640,"2011-09-16 11:44:00-07",1346,7,69,10,2,0
1316198660,"2011-09-16 11:44:20-07",1346,6,48,8,2,0
1316198680,"2011-09-16 11:44:40-07",1346,8,65,15,2,0
1316198700,"2011-09-16 11:45:00-07",1346,9,58,13,2,0
1316198720,"2011-09-16 11:45:20-07",1346,9,64,13,2,0
1316198740,"2011-09-16 11:45:40-07",1346,4,64,7,2,0
1316198760,"2011-09-16 11:46:00-07",1346,8,67,7,2,0
1316198780,"2011-09-16 11:46:20-07",1346,3,51,8,2,0
1316198800,"2011-09-16 11:46:40-07",1346,7,64,21,2,0
1316198820,"2011-09-16 11:47:00-07",1346,6,71,8,2,0
1316198840,"2011-09-16 11:47:20-07",1346,8,57,13,2,0
1316198860,"2011-09-16 11:47:40-07",1346,7,55,13,2,0
1316198880,"2011-09-16 11:48:00-07",1346,8,76,18,2,0
1316198900,"2011-09-16 11:48:20-07",1346,9,68,13,2,0
1316198920,"2011-09-16 11:48:40-07",1346,4,66,6,2,0
1316198940,"2011-09-16 11:49:00-07",1346,11,60,16,2,0
1316198960,"2011-09-16 11:49:20-07",1346,6,62,12,2,0
1316198980,"2011-09-16 11:49:40-07",1346,8,73,11,2,0
1316199000,"2011-09-16 11:50:00-07",1346,6,46,10,2,0
1316199020,"2011-09-16 11:50:20-07",1346,4,62,9,2,0
1316199040,"2011-09-16 11:50:40-07",1346,8,55,9,2,0
1316199060,"2011-09-16 11:51:00-07",1346,4,61,4,2,0
